name,area,sales_amount,success_rate
Matthias Zeldenrust-Meyer,Finance,99251.61,93.41
Fatima van Leeuwen,Finance,98732.19,78.57
Sep de Plantard,Finance,98209.35,77.46
Lizzy van Nederlotharingen-Lensen,Games,99488.94,90.0
Sven Lutterveld,Games,99056.55,94.87
Tristan Bezemer,Games,98481.63,80.0
Mees Friehus,HR,97723.09,85.88
Lara Verbeek,HR,97656.7,81.97
Elize de Groot,HR,96989.69,75.9
Ali Hollander,IT,99653.96,77.14
Puck Tins,IT,98552.73,95.0
Pepijn Olthof,IT,98182.4,78.13
Floris Glasses-Shupe,Marketing,98337.7,86.08
Yara van Wel,Marketing,97639.98,89.71
Linn Thout,Marketing,97074.34,92.86
